TS|CH0|CH1|CH2
4540|3.877|0.000|-1.339
4550|3.896|0.000|-1.353
4560|3.888|0.000|-1.285
4570|3.902|0.000|-1.124
4580|3.867|0.000|-1.246
4590|3.893|0.000|-1.055
4600|3.878|0.000|-1.089
4610|3.905|0.000|-1.138
4620|3.879|0.000|-1.050
4630|3.878|0.000|-0.948
4640|3.867|0.000|-0.948
4650|3.902|0.000|-0.855
4660|3.906|0.000|-0.855
4670|3.902|0.000|-0.772
4680|3.905|0.000|-0.625
4690|3.902|0.000|-0.640
4700|3.888|0.000|-0.576
4710|3.902|0.000|-0.601
4720|3.872|0.000|-0.547
4730|3.877|0.000|-0.396
4740|3.905|0.000|-0.464
4750|3.886|0.000|-0.347
4760|3.867|0.000|-0.327
4770|3.900|0.000|-0.308
4780|3.882|0.000|-0.191
4790|3.867|0.000|-0.112
4800|3.872|0.000|-0.132
4810|3.877|0.000|0.005
4820|3.877|0.000|0.098
4830|3.906|0.000|0.068
4840|3.902|0.000|0.112
4850|3.877|0.000|0.191
4860|3.917|0.000|0.230
4870|3.886|0.000|0.230
4880|3.875|0.000|0.347
4890|3.927|0.000|0.308
4900|3.888|0.000|0.347
4910|3.888|0.000|0.445
4920|3.917|0.000|0.469
4930|3.877|0.000|0.542
4940|3.877|0.000|0.674
4950|3.886|0.000|0.640
4960|3.888|0.000|0.660
4970|3.872|0.000|0.767
4980|3.897|0.000|0.860
4990|3.886|0.000|0.918
5000|3.902|0.000|0.884
5010|3.905|0.000|0.992
5020|3.893|0.000|1.119
5030|3.907|0.000|1.050
5040|3.904|0.000|1.109
5050|3.886|0.000|1.168
5060|3.907|0.000|1.290
5070|3.884|0.000|1.168
5080|3.867|0.000|1.397
5090|3.902|0.000|1.402
5100|3.905|0.000|1.480
5110|3.907|0.000|1.402
5120|3.885|0.000|1.622
5130|3.910|0.000|1.588
5140|3.893|0.000|1.681
5150|3.907|0.000|1.715
5160|3.867|0.000|1.803
5170|3.905|0.000|-3.898
5180|3.888|0.000|-3.869
5190|3.874|0.000|-3.815
5200|3.882|0.000|-3.683
5210|3.888|0.000|-3.664
5220|3.867|0.000|-3.600
5230|3.867|0.000|-3.591
5240|3.867|0.000|-3.532
5250|3.874|0.000|-3.493
5260|3.872|0.000|-3.415
5270|3.882|0.000|-3.351
5280|3.886|0.000|-3.346
5290|3.886|0.000|-3.273
5300|3.897|0.000|-3.136
5310|3.886|0.000|-3.156
5320|3.907|0.000|-3.083
5330|3.864|0.000|-3.000
5340|3.905|0.000|-3.019
5350|3.889|0.000|-3.122
5360|3.886|0.000|-2.853
5370|3.872|0.000|-2.858
5380|3.886|0.000|-2.789
5390|3.867|0.000|-2.726
5400|3.867|0.000|-2.648
5410|3.875|0.000|-2.589
5420|3.897|0.000|-2.614
5430|3.888|0.000|-2.496
5440|3.886|0.000|-2.511
5450|3.902|0.000|-2.477
5460|3.857|0.000|-2.433
5470|3.889|0.000|-2.296
5480|3.897|0.000|-2.340
5490|3.878|0.000|-2.301
5500|3.905|0.000|-2.223
5510|3.906|0.000|-2.081
5520|3.897|0.000|-2.062
5530|3.867|0.000|-2.066
5540|3.872|0.000|-1.998
5550|3.904|0.000|-1.915
5560|3.867|0.000|-1.866
5570|3.886|0.000|-1.847
5580|3.888|0.000|-1.720
5590|3.899|0.000|-1.690
5600|3.890|0.000|-1.715
5610|3.895|0.000|-1.637
5620|3.878|0.000|-1.602
5630|3.890|0.000|-1.480
5640|3.897|0.000|-1.510
5650|3.877|0.000|-1.441
5660|3.871|0.000|-1.402
5670|3.872|0.000|-1.324
5680|3.874|0.000|-1.246
5690|3.886|0.000|-1.241
5700|3.867|0.000|-1.085
5710|3.886|0.000|-1.085
5720|3.907|0.000|-1.006
5730|3.906|0.000|-1.080
5740|3.877|0.000|-1.050
5750|3.907|0.000|-0.943
5760|3.902|0.000|-0.933
5770|3.886|0.000|-0.855
5780|3.889|0.000|-0.806
5790|3.882|0.000|-0.757
5800|3.882|0.000|-0.738
5810|3.891|0.000|-0.625
5820|3.864|0.000|-0.547
5830|3.907|0.000|-0.537
5840|3.905|0.000|-0.464
5850|3.885|0.000|-0.420
5860|3.888|0.000|-0.381
5870|3.917|0.000|-0.366
5880|3.888|0.000|-0.278
5890|3.891|0.000|-0.269
5900|3.897|0.000|-0.156
5910|3.890|0.000|-0.161
5920|3.877|0.000|-0.112
5930|3.927|0.000|-0.039
5940|3.897|0.000|0.000
5950|3.888|0.000|0.078
5960|3.894|0.000|0.073
5970|3.867|0.000|0.191
5980|3.905|0.000|0.230
5990|3.896|0.000|0.352
6000|3.867|0.000|0.347
6010|3.867|0.000|0.327
6020|3.879|0.000|0.410
6030|3.894|0.000|0.508
6040|3.900|0.000|0.552
6050|3.879|0.000|0.606
6060|3.907|0.000|0.625
6070|3.867|0.000|0.723
6080|3.882|0.000|0.772
6090|3.897|0.000|0.782
6100|3.886|0.000|0.796
6110|3.882|0.000|0.840
6120|3.907|0.000|0.977
6130|3.886|0.000|1.011
6140|3.907|0.000|1.026
6150|3.886|0.000|1.114
6160|3.906|0.000|1.168
6170|3.906|0.000|1.207
6180|3.877|0.000|1.241
6190|3.877|0.000|1.255
6200|3.888|0.000|1.343
6210|3.874|0.000|1.426
6220|3.906|0.000|1.441
6230|3.886|0.000|1.470
6240|3.891|0.000|1.558
6250|3.872|0.000|1.593
6260|3.886|0.000|1.641
6270|3.872|0.000|1.720
6280|3.902|0.000|1.837
6290|3.937|0.000|-3.879
6300|3.872|0.000|-3.864
6310|3.884|0.000|-3.806
6320|3.906|0.000|-3.786
6330|3.888|0.000|-3.664
6340|3.888|0.000|-3.649
6350|3.905|0.000|-3.566
6360|3.888|0.000|-3.478
6370|3.886|0.000|-3.493
6380|3.896|0.000|-3.434
6390|3.864|0.000|-3.376
6400|3.897|0.000|-3.278
6410|3.922|0.000|-3.258
6420|3.866|0.000|-3.161
6430|3.867|0.000|-3.122
6440|3.944|0.000|-3.029
6450|3.874|0.000|-3.063
6460|3.886|0.000|-2.985
6470|3.905|0.000|-2.892
6480|3.867|0.000|-2.853
6490|3.874|0.000|-2.804
6500|3.966|0.000|-2.809
6510|3.888|0.000|-2.750
6520|3.877|0.000|-2.697
6530|3.935|0.000|-2.653
6540|3.879|0.000|-2.604
6550|3.906|0.000|-2.501
6560|3.927|0.000|-2.496
6570|3.878|0.000|-2.418
6580|3.882|0.000|-2.374
6590|3.917|0.000|-2.335
6600|3.902|0.000|-2.257
6610|3.886|0.000|-2.193
6620|3.939|0.000|-2.203
6630|3.893|0.000|-2.164
6640|3.884|0.000|-2.145
6650|3.927|0.000|-2.022
6660|3.882|0.000|-2.027
6670|3.890|0.000|-1.876
6680|3.888|0.000|-1.939
6690|3.877|0.000|-1.817
6700|3.905|0.000|-1.793
